gapdh,,,,,,,,,hprt,,,,,,,,,geomean
name,foldchange,foldchange upper bound,foldchange lower bound,p-value,KO #,WT #,,,,name,foldchange,foldchange upper bound,foldchange lower bound,p-value,KO #,WT #,,,,name,foldchange,foldchange upper bound,foldchange lower bound,p-value,KO #,WT #
Alkbh3,1.16641674272,1.08736046637,1.25122078627,0.312898850835,12,12,,,,Alkbh3,-1.13517652988,0.0230992738571,,0.405684443413,12,12,,,,Alkbh3,1.04040262807,0.0206980116966,,0.790878246189,12,12
Cacna2d3,1.41519416033,1.35709985796,1.47577534525,0.00932806434,12,10,,,,Cacna2d3,1.07115456067,0.0155694574056,,0.592178351825,12,12,,,,Cacna2d3,1.30818300157,0.0175795323994,,0.038450672464,12,11
Chrnb3,1.30888045212,1.24890271151,1.37173858473,0.0374695229202,11,12,,,,Chrnb3,-1.0060306382,0.0144992070608,,0.961173121926,11,12,,,,Chrnb3,1.16927419865,0.0157360422379,,0.199890110826,11,12
Cyp26a1,-1.02334702308,-1.14026643545,-0.918416167559,0.90114036144,11,12,,,,Cyp26a1,-1.34751658572,0.0278088544318,,0.0557711572593,11,12,,,,Cyp26a1,-1.14553020651,0.0306607087331,,0.423109841143,11,12
Dapl1,1.08683758564,1.06151423961,1.11276504212,0.344961639605,10,11,,,,Dapl1,-1.168034861,0.0124921759276,,0.147101164008,10,12,,,,Dapl1,-1.0236752581,0.0081339803982,,0.793766471459,10,11
dusp11,1.56058110044,1.42339709398,1.7109866118,0.0180976050802,12,12,,,,dusp11,1.24728216901,0.0298828196577,,0.180602242314,12,11,,,,dusp11,1.47545800436,0.0357258603969,,0.0274531723206,12,11
Fabp12,1.1773146927,1.16833751285,1.18636085071,0.00513406294621,10,10,,,,Fabp12,-1.13642305076,0.00546884629966,,0.082706732417,10,10,,,,Fabp12,1.05777693514,0.00322681882507,,0.319273922524,10,10
Faim,1.33939671362,1.32243791936,1.35657298554,0.000166958012062,10,12,,,,Faim,-1.06498516438,0.00431662326214,,0.355531465039,12,12,,,,Faim,1.14588648874,0.00424924808788,,0.0392682261283,11,12
Fnip2,1.13885441567,1.05045220327,1.23469623468,0.4212961686,12,10,,,,Fnip2,-1.18345102175,0.0240426322462,,0.248811708222,12,10,,,,Fnip2,-1.00014884251,0.0231479296697,,0.999219324832,12,10
Gpr158,1.34684453673,1.31347377768,1.38106312966,0.00289795212766,11,12,,,,Gpr158,-1.03287571515,0.00713665205948,,0.713034755852,12,12,,,,Gpr158,1.14344894327,0.00831392911749,,0.146833520149,12,12
Kcnc2,1.29177612442,1.25530246221,1.32930955355,0.0137001068935,12,11,,,,Kcnc2,-1.08924865614,0.00780094713189,,0.343960743462,12,12,,,,Kcnc2,1.13734944574,0.00860909980053,,0.160859266914,12,11
Phc1,1.6138427368,1.59416537086,1.63376298767,8.81881750002e-07,10,10,,,,Phc1,1.01977973609,0.00676537303196,,0.815277727989,12,11,,,,Phc1,1.33385316914,0.00741724209763,,0.00134976603133,11,10
Pitpnm3,1.19333574303,1.16252936843,1.22495846923,0.0641725464259,11,11,,,,Pitpnm3,-1.16076486588,0.00779612380298,,0.0878927417606,11,12,,,,Pitpnm3,1.05320190614,0.00731460612704,,0.547217643593,11,11
Ptn,1.1526863468,1.12739827854,1.1785416382,0.1026368287,10,11,,,,Ptn,-1.15475829462,0.0102179660241,,0.138291753474,10,11,,,,Ptn,1.07782263723,0.00960735421459,,0.429585530119,10,12
Rbm33,1.37723789036,1.33887644311,1.41669846864,0.00324651287226,10,9,,,,Rbm33,1.07121643477,0.00764941637256,,0.386237362394,10,8,,,,Rbm33,1.21942924195,0.0102219480095,,0.0363491656469,10,9
Rpe65,1.39152484418,1.33582030332,1.44955229918,0.0113269626588,12,9,,,,Rpe65,1.05327806942,0.0128004404197,,0.648708068232,12,11,,,,Rpe65,1.24596310038,0.0151324170626,,0.0686332878947,12,11
Stk35,1.35073999885,1.30991265366,1.39283985034,0.00577381296968,10,12,,,,Stk35,1.01560072736,0.0092844584947,,0.871243278163,10,12,,,,Stk35,1.20007102491,0.0102136278272,,0.0592514690923,10,12
Sulf1,1.26444124447,1.23916680605,1.29023118833,0.00798466560615,10,10,,,,Sulf1,-1.09505247079,0.0089173253182,,0.32357933742,10,10,,,,Sulf1,1.10574071333,0.00692376893451,,0.214774976939,10,10
Tppp,1.26210621946,1.22346259407,1.30197042143,0.0307013265556,12,11,,,,Tppp,-1.08493877892,0.00821748228402,,0.3688856258,12,11,,,,Tppp,1.11122645948,0.00903999994049,,0.266657343564,12,11
